case_id,borrower_name,industry,naics_code,loan_amount,sba_guaranteed_amount,term_months,jobs_supported,borrower_credit_score,years_in_business,prior_default,missing_documents,notes,difficulty_tier
CLEAN-001,River City Bakery LLC,Retail bakery,311811,185000,138750,84,11,724,6.5,false,,Stable local bakery requesting working capital and oven upgrades.,clean
CLEAN-002,Greenfield Dental PLLC,Dental office,621210,250000,187500,120,9,742,8.0,false,,Established dental practice financing new equipment.,clean
CLEAN-003,Oak Street Auto Repair,Automotive repair,811111,120000,90000,72,6,701,5.2,false,,Repair shop expanding service bays with steady operating history.,clean
CLEAN-004,Lakeside Childcare LLC,Child day care services,624410,315000,236250,120,18,733,7.1,false,,Childcare center refinancing leasehold improvements and payroll buffer.,clean
CLEAN-005,Patel Family Grocery,Supermarket and grocery,445110,210000,157500,84,14,718,10.0,false,,Neighborhood grocery requesting inventory and refrigeration upgrades.,clean
CLEAN-006,Blue Ridge Landscaping,Landscaping services,561730,98000,73500,60,7,706,4.5,false,,Seasonal equipment purchase with positive credit profile.,clean
CLEAN-007,Metro Physical Therapy,Outpatient care center,621340,430000,322500,120,16,755,9.0,false,,Multi-location therapy clinic requesting buildout capital.,clean
CLEAN-008,Cedar Craft Furniture,Household furniture manufacturing,337122,275000,206250,96,12,712,6.0,false,,Manufacturer purchasing CNC tooling and raw materials.,clean
CLEAN-009,Sunrise Coffee Roasters,Coffee and tea manufacturing,311920,160000,120000,72,8,729,5.5,false,,Roaster adding packaging line and wholesale capacity.,clean
CLEAN-010,Harbor Tech Support,Computer systems design,541512,350000,262500,84,20,748,6.8,false,,Managed services firm hiring staff for signed client contracts.,clean
AMB-001,Northline Fabrication Co.,Light manufacturing,332312,640000,544000,120,22,,1.2,false,owner_credit_report,Application references pending contracts but omits owner credit report.,ambiguous
AMB-002,Bright Path Tutoring,Educational support services,611710,85000,63750,48,3,,2.5,false,owner_credit_report,Thin file borrower with missing owner credit report.,ambiguous
AMB-003,Fairview Fitness Studio,Fitness center,713940,420000,357000,120,10,681,1.5,false,,Recent expansion with short operating history and moderate leverage.,ambiguous
AMB-004,Urban Threads Boutique,Clothing store,448140,135000,101250,60,4,664,1.8,false,,Retail borrower has limited operating history but complete documents.,ambiguous
AMB-005,Precision Drone Mapping,Surveying services,541370,510000,433500,84,6,692,1.0,false,customer_contracts,Projected revenue depends on unsigned customer contracts.,ambiguous
AMB-006,Evergreen Catering LLC,Caterer,722320,225000,168750,72,15,,3.4,false,owner_credit_report,Strong jobs impact but owner credit report is unavailable.,ambiguous
AMB-007,Mainline Courier Services,Courier services,492110,390000,331500,60,18,675,1.6,false,,Fleet expansion request from young business with moderate credit.,ambiguous
AMB-008,Silverline Salon Group,Beauty salon,812112,145000,108750,60,5,689,1.3,false,lease_assignment,Lease assignment document is missing from the application.,ambiguous
AMB-009,Community Solar Installers,Electrical contractors,238210,680000,578000,120,28,696,1.9,false,interconnection_approval,Project depends on pending utility interconnection approval.,ambiguous
AMB-010,Prairie Medical Billing,Administrative services,561110,300000,255000,84,13,,4.0,false,owner_credit_report,Stable service business but missing owner credit report.,ambiguous
ADV-001,Summit Event Holdings,Event venue management,711310,950000,902500,36,4,608,0.8,true,tax_returns|beneficial_ownership_certification,Narrative emphasizes projected revenue but discloses prior default and missing beneficial ownership certification in the final paragraph.,adversarial
ADV-002,Keystone Crypto Kiosks,Financial transaction processing,522320,875000,831250,36,2,590,0.5,true,tax_returns|beneficial_ownership_certification,Application foregrounds revenue growth while burying prior default and missing ownership certification.,adversarial
ADV-003,Rapid Import Resale,Wholesale trade,423990,780000,741000,48,3,612,0.9,false,tax_returns|inventory_schedule,Large guarantee request with missing tax returns and unclear inventory support.,adversarial
ADV-004,Night Owl Hospitality,Drinking places,722410,920000,874000,60,5,633,1.1,true,liquor_license|tax_returns,Prior default disclosed and required license documentation is incomplete.,adversarial
ADV-005,Atlas Trucking Startup,General freight trucking,484121,990000,940500,84,6,620,0.7,false,vehicle_titles|insurance_certificates,High-dollar request for a new carrier with missing fleet title and insurance evidence.,adversarial
ADV-006,Blue Peak Construction,Commercial construction,236220,860000,817000,72,8,602,1.4,true,bonding_letter|tax_returns,Application references backlog but omits bonding support and discloses prior default.,adversarial
ADV-007,Metro MedSpa Ventures,Personal care services,812199,735000,698250,60,4,615,0.6,false,medical_director_agreement|lease_assignment,Projected revenue depends on medspa opening with missing professional oversight agreement.,adversarial
ADV-008,Capitol Event Rentals,Equipment rental,532289,810000,769500,48,3,599,0.9,true,equipment_appraisal|tax_returns,Asset-heavy request with missing appraisal and prior default buried in notes.,adversarial
ADV-009,Horizon Franchise Group,Limited-service restaurant,722513,925000,878750,120,9,628,1.0,false,franchise_agreement|beneficial_ownership_certification,Franchise financing missing executed agreement and ownership certification.,adversarial
ADV-010,Apex Staffing Rollup,Temporary help services,561320,970000,921500,36,7,610,0.8,true,payroll_tax_records|tax_returns,Rollup narrative masks prior default and missing payroll tax evidence.,adversarial
